O	0	1	"
B-GPE	1	4	풍계리
O	5	11	핵실험장까지
O	12	15	고려한
O	16	18	합동
O	19	26	실사격…강력한
O	27	29	경고
O	30	33	차원서
O	34	36	실시
O	36	37	"

O	39	40	(
O	40	42	서울
O	42	43	=
B-Organization	43	47	연합뉴스
O	47	48	)
B-Person	49	52	김귀근
I-Person	53	56	이영재
O	57	59	기자
O	60	61	=
O	62	63	군
O	64	67	당국은
O	68	70	4일
O	71	74	북한의
O	75	78	제6차
O	79	82	핵실험
O	83	86	도발에
O	87	90	대응해
O	91	94	미사일
O	95	101	발사훈련으로
O	102	104	대북
O	105	107	무력
O	108	113	응징시위에
O	114	117	나섰다
O	117	118	.

B-Organization	120	127	합동참모본부는
O	128	130	이날
O	131	132	"
O	132	134	우리
O	135	137	군은
O	138	140	오늘
O	141	143	새벽
O	144	147	일출과
O	148	151	더불어
B-Organization	152	154	공군
O	155	156	및
B-Organization	157	159	육군
O	160	163	미사일
O	164	166	합동
O	167	173	실사격훈련을
O	174	178	실시했다
O	178	179	"
O	179	180	며
O	181	182	"
B-Organization	182	185	북한의
O	186	188	6차
O	189	193	핵실험에
O	194	196	대한
O	197	200	강력한
O	201	203	경고
O	204	206	차원
O	206	207	"
O	207	210	이라고
O	211	214	밝혔다
O	214	215	.

O	217	219	이어
O	220	221	"
O	221	225	사격에는
B-Organization	226	229	육군의
O	230	233	지대지
O	234	240	탄도미사일인
O	241	244	현무와
B-Organization	245	248	공군의
O	249	252	장거리
O	253	260	공대지미사일을
B-GPE	261	264	동해상
O	265	267	목표
O	268	271	지점에
O	272	275	사격을
O	276	279	실시해
O	280	285	명중시켰다
O	285	286	"
O	286	287	고
O	288	292	설명했다
O	292	293	.

B-Organization	295	298	합참은
O	299	300	"
O	300	302	이번
O	303	305	합동
O	306	310	실사격은
O	311	313	북한
B-GPE	314	317	풍계리
O	318	325	핵실험장까지의
O	326	329	거리를
O	330	333	고려해
O	334	337	공해상
O	338	340	목표
O	341	344	지점을
O	345	347	향해
O	348	352	실시됐다
O	352	353	"
O	353	354	며
O	355	356	"
O	356	359	유사시
O	360	362	적의
O	363	365	도발
O	366	368	원점
O	369	370	및
O	371	373	지휘
O	374	379	지원세력에
O	380	382	대한
O	383	387	정밀타격
O	388	391	능력을
O	392	396	과시했다
O	396	397	"
O	397	398	고
O	399	403	강조했다
O	403	404	.

O	406	408	이번
O	409	413	훈련에는
O	414	417	사거리
O	418	423	300㎞의
O	424	426	현무
O	426	427	-
O	427	429	2A
O	430	436	탄도미사일과
B-Organization	437	440	공군의
O	441	443	슬램
O	443	444	-
O	444	446	ER
O	447	454	공대지미사일이
O	455	459	동원됐다
O	459	460	.

O	462	465	훈련은
O	466	468	전날
O	469	472	합참이
B-Organization	473	476	북한의
O	477	481	핵실험을
O	482	486	강력하게
O	487	491	규탄하고
O	492	494	군의
O	495	497	대응
O	498	501	조치를
O	502	506	행동으로
O	507	510	보여줄
O	511	515	것이라고
O	516	519	경고한
O	520	522	이후
O	523	526	실시한
O	527	528	첫
O	529	531	번째
O	532	535	군사적
O	536	539	조치다
O	539	540	.
